state_name,year,ECO_prop_hh_microfin,OUT_hh_income_monthly,OUT_prop_saving,ACC_pop_hh_elec,SKL_fem_literacy,SRV_pop_hh_sf,AGR_fem_15_24_hyg_period,NAT_upi_total_vol,NAT_upi_total_val,NAT_upi_p2p_vol,NAT_upi_p2m_vol,NAT_ib_no_of_transactions,NAT_ib_amt_of_transactions,NAT_ib_active_users,AGR_shg_member_scale,Z_ACC_pop_hh_elec,Z_SKL_fem_literacy,Z_SRV_pop_hh_sf,Z_AGR_fem_15_24_hyg_period,Z_AGR_shg_member_scale,Z_ECO_prop_hh_microfin,Z_OUT_hh_income_monthly,Z_OUT_prop_saving,ACC_score,SKL_score,SRV_score,AGR_score,ECO_score,OUT_score,DCLO_score,CTX_dpi_composite_v2,CTX_dpi_confidence_score,CTX_coverage_ratio,CTX_imputation_share,Z_CTX_dpi_composite_v2,DCLO_score_context_adjusted
Jammu And Kashmir,2014,21.0,9877.0,55.0,96.23,0.0,50.945,62.825,15003.34,2742522.49,8947.5,6055.85,3580285350.0,7668933532.51,747362873.0,629974.0,0.1596689700018741,-1.1896346034301803,-0.9020033737917452,-0.69765660637825,-0.6749465218619737,0.1127389438721335,0.2927207520422134,-0.24738686324508702,0.1596689700018741,-1.1896346034301803,-0.9020033737917452,-0.6863015641201118,0.1127389438721335,0.022666944398563177,-0.4138107805115778,3.8577679934065,72.0,0.6,0,-0.47716319602054796,-0.48538525991466
Jharkhand,2014,5.0,16020.0,21.0,78.02916666666667,0.0,22.275000000000002,47.00416666666666,15003.34,2742522.49,8947.5,6055.85,3580285350.0,7668933532.51,747362873.0,3135384.0,-2.875572575648607,-1.1896346034301803,-2.0922316686574343,-1.7073571922989046,0.1215049414003736,-1.32420488310828,2.8191400625813214,-1.8080650823593194,-2.875572575648607,-1.1896346034301803,-2.0922316686574343,-0.7929261254492654,-1.32420488310828,0.505537490111001,-1.2948387276971278,3.8577679934065,72.0,0.6,0,-0.47716319602054796,-1.36641320710021
Karnataka,2014,23.0,8059.0,51.0,97.91333333333334,0.0,54.44666666666667,68.19666666666667,15003.34,2742522.49,8947.5,6055.85,3580285350.0,7668933532.51,747362873.0,2726564.0,0.4786597385652698,-1.1896346034301803,-0.6925100320100361,-0.3548317458649742,-0.008455938140664717,0.2923569222446852,-0.5816425273334002,-0.45513105214548405,0.4786597385652698,-1.1896346034301803,-0.6925100320100361,-0.18164384200281944,0.2923569222446852,-0.5183867897394421,-0.30185976772875384,3.8577679934065,72.0,0.6,0,-0.47716319602054796,-0.37343424713183604
Kerala,2014,18.5,8909.0,61.0,99.07857142857142,0.0,97.82857142857142,89.89285714285714,15003.34,2742522.49,8947.5,6055.85,3580285350.0,7668933532.51,747362873.0,3270313.0,0.6994717359272551,-1.1896346034301803,1.348043361402387,1.0298397043992744,0.16439788087396284,-0.11178352909355611,-0.17283681365393289,0.06422942010550849,0.6994717359272551,-1.1896346034301803,1.348043361402387,0.5971187926366186,-0.11178352909355611,-0.0543036967742122,0.21481867677805203,3.8577679934065,72.0,0.6,0,-0.47716319602054796,0.14324419737496985
Ladakh,2014,18.5,8909.0,61.0,98.69999999999999,0.0,17.85,67.85,15003.34,2742522.49,8947.5,6055.85,3580285350.0,7668933532.51,747362873.0,1645436.5,0.6277326521909319,-1.1896346034301803,-2.0922316686574343,-0.3769563412688723,-0.35213844094386393,-0.11178352909355611,-0.17283681365393289,0.06422942010550849,0.6277326521909319,-1.1896346034301803,-2.0922316686574343,-0.36454739110636813,-0.11178352909355611,-0.0543036967742122,-0.5307947061451365,3.8577679934065,72.0,0.6,0,-0.47716319602054796,-0.6023691855482186
Madhya Pradesh,2014,31.0,9716.0,36.0,89.63541666666667,0.0,31.391666666666666,34.487500000000004,15003.34,2742522.49,8947.5,6055.85,3580285350.0,7668933532.51,747362873.0,5061813.0,-1.0900010532785347,-1.1896346034301803,-2.0718157896808496,-1.850639979768044,0.7339025912544974,1.010828835734892,0.21528814039233782,-1.2341717605219729,-1.0900010532785347,-1.1896346034301803,-2.0718157896808496,-0.5583686942567733,1.010828835734892,-0.5094418100648175,-0.734738852496044,3.8577679934065,72.0,0.6,0,-0.47716319602054796,-0.8063133318991261
Maharashtra,2014,22.0,8762.0,48.0,93.23636363636365,0.0,50.233333333333334,61.29090909090909,15003.34,2742522.49,8947.5,6055.85,3580285350.0,7668933532.51,747362873.0,5688225.0,-0.40762352372229693,-1.1896346034301803,-0.9445800786659906,-0.7955637429448854,0.9330343716836861,0.20254793305840935,-0.2435361547255584,-0.6109391938207818,-0.40762352372229693,-1.1896346034301803,-0.9445800786659906,0.06873531436940034,0.20254793305840935,-0.42723767427317005,-0.44963210544397136,3.8577679934065,72.0,0.6,0,-0.47716319602054796,-0.5212065848470535
Manipur,2014,16.0,8938.0,34.0,91.12222222222222,0.0,56.05555555555556,75.54444444444444,15003.34,2742522.49,8947.5,6055.85,3580285350.0,7668933532.51,747362873.0,81220.0,-0.808252193751214,-1.1896346034301803,-0.5962554361350834,0.11411039966699141,-0.8493913936678122,-0.3363060020592457,-0.15888932459898636,-1.3380438549721714,-0.808252193751214,-1.1896346034301803,-0.5962554361350834,-0.3676404970004104,-0.3363060020592457,-0.7484665897855789,-0.6744258870269522,3.8577679934065,72.0,0.6,0,-0.47716319602054796,-0.7460003664300343
Meghalaya,2014,37.0,9491.0,85.0,93.89999999999999,0.0,70.8,65.60000000000001,15003.34,2742522.49,8947.5,6055.85,3580285350.0,7668933532.51,747362873.0,387717.0,-0.2818647868809265,-1.1896346034301803,0.2858567788239124,-0.5205534748999363,-0.7519582453465716,1.5496827708525471,0.1070748632418906,1.3106945535078904,-0.2818647868809265,-1.1896346034301803,0.2858567788239124,-0.636255860123254,1.5496827708525471,0.7088847083748905,0.07277816793616486,3.8577679934065,72.0,0.6,0,-0.47716319602054796,0.0012036885330826697
Mizoram,2014,26.0,9679.0,82.0,94.7625,0.0,81.4625,91.7125,15003.34,2742522.49,8947.5,6055.85,3580285350.0,7668933532.51,747362873.0,70608.0,-0.11842149704769966,-1.1896346034301803,0.9237595175428478,1.145971037073922,-0.8527648706349115,0.5617838898035128,0.19749306814981984,1.1548864118325928,-0.11842149704769966,-1.1896346034301803,0.9237595175428478,0.14660308321950527,0.5617838898035128,0.6761897399912064,0.16671335501319873,3.8577679934065,72.0,0.6,0,-0.47716319602054796,0.09513887561011654
Nagaland,2014,8.0,6632.0,26.0,97.34545454545454,0.0,77.86363636363636,71.75454545454545,15003.34,2742522.49,8947.5,6055.85,3580285350.0,7668933532.51,747362873.0,117673.0,0.3710470112407312,-1.1896346034301803,0.7084511968007746,-0.12776454775556975,-0.8378032523295473,-1.0547779155494525,-1.2679551784164589,-1.7535322327729652,0.3710470112407312,-1.1896346034301803,0.7084511968007746,-0.48278390004255856,-1.0547779155494525,-1.5107437055947122,-0.5264069860958996,3.8577679934065,72.0,0.6,0,-0.47716319602054796,-0.5979814654989818
Odisha,2014,5.0,8338.0,32.0,86.46666666666667,0.0,28.466666666666665,45.70333333333333,15003.34,2742522.49,8947.5,6055.85,3580285350.0,7668933532.51,747362873.0,5390546.0,-1.6904774876658173,-1.1896346034301803,-2.0922316686574343,-1.7903776091870867,0.8384044008875001,-1.32420488310828,-0.4474580636668456,-1.44191594942237,-1.6904774876658173,-1.1896346034301803,-2.0922316686574343,-0.47598660414979327,-1.32420488310828,-0.9446870065446078,-1.2862037089260188,3.8577679934065,72.0,0.6,0,-0.47716319602054796,-1.357778188329101
Puducherry,2014,18.5,8909.0,61.0,99.725,0.0,75.85,90.3,15003.34,2742522.49,8947.5,6055.85,3580285350.0,7668933532.51,747362873.0,52746.0,0.8219696053260696,-1.1896346034301803,0.5879818743015789,1.055823947627753,-0.8584430694274413,-0.11178352909355611,-0.17283681365393289,0.06422942010550849,0.8219696053260696,-1.1896346034301803,0.5879818743015789,0.09869043910015579,-0.11178352909355611,-0.0543036967742122,0.025486681571642595,3.8577679934065,72.0,0.6,0,-0.47716319602054796,-0.0460877978314396
Punjab,2014,19.0,6277.0,50.0,99.55000000000001,0.0,83.35,84.53888888888889,15003.34,2742522.49,8947.5,6055.85,3580285350.0,7668933532.51,747362873.0,391155.0,0.7888071986932446,-1.1896346034301803,1.0366825111495988,0.6881443733674711,-0.7508653303623192,-0.0668790345004182,-1.4386916823649423,-0.5070670993705833,0.7888071986932446,-1.1896346034301803,1.0366825111495988,-0.031360478497424016,-0.0668790345004182,-0.9728793908677628,-0.07254396624215699,3.8577679934065,72.0,0.6,0,-0.47716319602054796,-0.14411844564523918
Rajasthan,2014,14.0,11702.0,76.0,90.26969696969697,0.0,42.95757575757575,51.34545454545455,15003.34,2742522.49,8947.5,6055.85,3580285350.0,7668933532.51,747362873.0,2814434.0,-0.9698052742597684,-1.1896346034301803,-1.3798650197052216,-1.4302920831161374,0.019477290383553857,-0.5159239804317974,1.170450666706952,0.8432701284819972,-0.9698052742597684,-1.1896346034301803,-1.3798650197052216,-0.7054073963662918,-0.5159239804317974,1.0068603975944748,-0.6256293127664642,3.8577679934065,72.0,0.6,0,-0.47716319602054796,-0.6972037921695463
Sikkim,2014,40.0,8383.0,87.0,99.5,0.0,91.075,83.42500000000001,15003.34,2742522.49,8947.5,6055.85,3580285350.0,7668933532.51,747362873.0,45110.0,0.7793322253695772,-1.1896346034301803,1.348043361402387,0.6170549281995,-0.8608704978217844,1.8191097384113746,-0.4258154082367562,1.414566647958089,0.7793322253695772,-1.1896346034301803,1.348043361402387,-0.12190778481114217,1.8191097384113746,0.49437561986066636,0.5215530928004471,3.8577679934065,72.0,0.6,0,-0.47716319602054796,0.44997861339736495
Tamil Nadu,2014,18.5,8909.0,61.0,98.875,0.0,49.3625,90.434375,15003.34,2742522.49,8947.5,6055.85,3580285350.0,7668933532.51,747362873.0,3284958.0,0.6608950588237623,-1.1896346034301803,-0.9966792081666777,1.064399887552942,0.1690534189613326,-0.11178352909355611,-0.17283681365393289,0.06422942010550849,0.6608950588237623,-1.1896346034301803,-0.9966792081666777,0.6167266532571373,-0.11178352909355611,-0.0543036967742122,-0.17912988756395443,3.8577679934065,72.0,0.6,0,-0.47716319602054796,-0.25070436696703663
The Dadra And Nagar Haveli And Daman And Diu,2014,11.0,7434.5,60.0,99.10000000000001,0.0,57.06666666666666,64.23333333333333,15003.34,2742522.49,8947.5,6055.85,3580285350.0,7668933532.51,747362873.0,2514.0,0.7035324387802573,-1.1896346034301803,-0.5357639428711284,-0.6077754375499169,-0.8608704978217844,-0.785350947990625,-0.8819944899131971,0.012293372880409234,0.7035324387802573,-1.1896346034301803,-0.5357639428711284,-0.7343229676858507,-0.785350947990625,-0.4348505585163939,-0.49606509695232015,3.8577679934065,72.0,0.6,0,-0.47716319602054796,-0.5676395763554023
Tripura,2014,5.0,10061.0,99.0,88.7,0.0,50.3,27.2,15003.34,2742522.49,8947.5,6055.85,3580285350.0,7668933532.51,747362873.0,417496.0,-1.2672620125421048,-1.1896346034301803,-0.9405916285606751,-1.850639979768044,-0.7424917196583651,-1.32420488310828,0.3812151653563569,1.414566647958089,-1.2672620125421048,-1.1896346034301803,-0.9405916285606751,-1.2965658497132044,-1.32420488310828,0.8978909066572229,-0.8533946784495369,3.8577679934065,72.0,0.6,0,-0.47716319602054796,-0.924969157852619
Uttar Pradesh,2014,7.0,10747.0,87.0,70.97076923076924,0.0,33.35076923076923,44.90923076923077,15003.34,2742522.49,8947.5,6055.85,3580285350.0,7668933532.51,747362873.0,7516717.0,-2.875572575648607,-1.1896346034301803,-1.9546090472590614,-1.841057987860068,1.5142985675492313,-1.1445869047357284,0.7111454236906093,1.414566647958089,-2.875572575648607,-1.1896346034301803,-1.9546090472590614,-0.1633797101554183,-1.1445869047357284,1.062856035824349,-1.044154467567441,3.8577679934065,72.0,0.6,0,-0.47716319602054796,-1.1157289469705232
Uttarakhand,2014,16.0,10758.0,76.0,97.1846153846154,0.0,65.02307692307693,71.29230769230769,15003.34,2742522.49,8947.5,6055.85,3580285350.0,7668933532.51,747362873.0,403600.0,0.34056807607369916,-1.1896346034301803,-0.059757762994408034,-0.1572650000726277,-0.7469091561392179,-0.3363060020592457,0.7164358505735201,0.8432701284819972,0.34056807607369916,-1.1896346034301803,-0.059757762994408034,-0.4520870781059228,-0.3363060020592457,0.7798529895277586,-0.15289406349804988,3.8577679934065,72.0,0.6,0,-0.47716319602054796,-0.22446854290113205
West Bengal,2014,44.0,7241.0,75.0,93.90555555555555,0.0,50.333333333333336,54.03888888888889,15003.34,2742522.49,8947.5,6055.85,3580285350.0,7668933532.51,747362873.0,10858658.0,-0.28081201206718504,-1.1896346034301803,-0.9385974035080169,-1.2583945491869637,2.5766771002390634,2.178345695156478,-0.9750579082625817,0.791334081256898,-0.28081201206718504,-1.1896346034301803,-0.9385974035080169,0.6591412755260498,2.178345695156478,-0.09186191350284184,0.05609683969571728,3.8577679934065,72.0,0.6,0,-0.47716319602054796,-0.015477639707364911
Andhra Pradesh,2016,29.0,6860.0,75.0,99.33076923076922,33.823076923076925,64.91538461538462,76.29615384615386,15003.34,2742522.49,8947.5,6055.85,3580285350.0,7668933532.51,747362873.0,8926813.0,0.7472630848894778,-0.1771371637943297,-0.06620064393376399,0.1620852065154338,1.9625577437081765,0.8312108573623402,-1.1582990575706722,0.791334081256898,0.7472630848894778,-0.1771371637943297,-0.06620064393376399,1.062321475111805,0.8312108573623402,-0.1834824881568871,0.3689958535797737,0.122015025659487,100.0,1.0,0,-1.0206406871899134,0.2158997505012867
Arunachal Pradesh,2016,31.0,15130.0,45.0,90.97340909090909,35.417500000000004,72.7290909090909,83.52136363636363,15003.34,2742522.49,8947.5,6055.85,3580285350.0,7668933532.51,747362873.0,65182.0,-0.8364522027392746,-0.12940793777647183,0.40126802141682083,0.6232049468519809,-0.8544897562383302,1.010828835734892,2.8191400625813214,-0.7667473354960795,-0.8364522027392746,-0.12940793777647183,0.40126802141682083,-0.11564240469317466,1.010828835734892,1.026196363542621,0.22613177924756878,0.122015025659487,100.0,1.0,0,-1.0206406871899134,0.07303567616908177
Assam,2016,18.0,10002.0,71.0,85.33593073593073,38.70151515151515,59.37835497835498,57.51601731601732,15003.34,2742522.49,8947.5,6055.85,3580285350.0,7668933532.51,747362873.0,3675547.0,-1.904751343262472,-0.03110059157622718,-0.3974631405179723,-1.036480915674637,0.2932187973162434,-0.15668802368669404,0.3528392393480174,0.583589892356501,-1.904751343262472,-0.03110059157622718,-0.3974631405179723,-0.3716310591791968,-0.15668802368669404,0.46821456585225923,-0.39890326539505055,0.122015025659487,100.0,1.0,0,-1.0206406871899134,-0.5519993684735376
