country_iso3,language,article_count,mapped_count
DEU,de,1206,321
CHN,zh,1039,153
QAT,en,997,12
IND,hi,970,167
KOR,ko,946,143
JPN,ja,777,89
SAU,ar,752,34
FRA,fr,730,278
USA,en,711,102
IND,en,494,100
SGP,en,457,25
CAN,en,356,112
MEX,es,354,97
IDN,id,346,50
ARE,ar,340,29
BRA,pt,265,79
IND,ta,221,7
GBR,en,215,32
NGA,en,197,111
ZAF,en,163,42
AUS,en,158,91
KEN,en,45,14
ESP,es,21,2
