economy,iso3c,year,region,subregion,population,independent,ACC_score,SKL_score,SRV_score,AGR_score,ECO_score,OUT_score,DCLO_score,n_domains_used,n_indicators_selected,observed_indicator_points,expected_indicator_points_year,coverage_ratio,DCLO_score_confidence_weighted,model_trust_tier
Australia,AUS,2014,East Asia & Pacific,,,,0.5628205687628567,0.5444236536007291,0.3020486538386447,1.3896143052996088,-0.395082930214278,-0.8538994195990227,0.25832080528142304,6,17,12,17,0.7058823529411765,0.25832080528142304,Medium
Austria,AUT,2014,Europe & Central Asia,,,,0.827428433848861,0.8744337231756418,0.2907058191379456,1.549296815426042,0.17921764806617047,-0.8947489883392071,0.47105557521924224,6,17,15,17,0.8823529411764706,0.47105557521924224,High
Azerbaijan,AZE,2014,Europe & Central Asia,Europe & Central Asia (excluding high income),,,0.4773808338918492,0.49063080683239035,0.10794095548410787,0.6859606715627923,-0.13537693140821377,-0.9992425428498702,0.10454896558550929,6,17,16,17,0.9411764705882353,0.10454896558550929,High
"Bahamas, The",BHS,2014,Latin America & Caribbean ,,,,0.32185694488480254,0.55134394382352,0.024575553617343315,1.3896143052996088,-0.03678242563730144,-0.8554547867410722,0.23252558920781685,6,17,12,17,0.7058823529411765,0.23252558920781685,Medium
Bahrain,BHR,2014,"Middle East, North Africa, Afghanistan & Pakistan",,,,0.9088603022208878,0.6655102122329798,0.22629839092896006,1.2539549270011656,0.7026933485807909,-1.1099237315478743,0.441232241569485,6,17,15,17,0.8823529411764706,0.441232241569485,High
Bangladesh,BGD,2014,South Asia,South Asia,,,-0.23054815210795956,0.23238701375273318,-0.5220410010030708,0.03891355648742947,-0.3364967163255587,-1.08566888438545,-0.31724236393031274,6,17,15,17,0.8823529411764706,-0.31724236393031274,High
Barbados,BRB,2014,Latin America & Caribbean ,,,,0.5106906834133453,0.8564469136356955,0.05526801079661899,1.3896143052996088,-0.08523755455361676,-0.8769104443259934,0.30831198571094315,6,17,12,17,0.7058823529411765,0.30831198571094315,Medium
Belarus,BLR,2014,Europe & Central Asia,Europe & Central Asia (excluding high income),,,0.4989773355148868,0.9715962010000175,0.2648863476965973,0.8856948543677597,0.2523354572458509,-0.9185176530146837,0.3258287571350715,6,17,15,17,0.8823529411764706,0.3258287571350715,High
Belgium,BEL,2014,Europe & Central Asia,,,,0.6660927927492148,1.203012474734826,0.3019722196425485,1.8363843697342146,0.7002268983927721,-0.8874545401168499,0.6367057025227877,6,17,16,17,0.9411764705882353,0.6367057025227877,High
Belize,BLZ,2014,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),,,-0.23309301251767053,0.3858701477641826,-0.09571230388411849,1.6718508887413994,0.22024750487985195,-0.9354698583852042,0.16894889443307348,6,17,14,17,0.8235294117647058,0.16894889443307348,High
Benin,BEN,2014,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),,,-0.27062978371711083,0.15342427621565155,-0.6643657544494649,0.029747721621164087,-0.15866054255037437,-1.0361518739787807,-0.3244393261431525,6,17,14,17,0.8235294117647058,-0.3244393261431525,High
Bermuda,BMU,2014,North America,,,,0.7333436042404644,0.4764000753272047,-0.0765209001914613,1.3896143052996088,-0.11771887668013242,-0.8477653729261426,0.2595588058449236,6,17,11,17,0.6470588235294118,0.2595588058449236,Medium
Bhutan,BTN,2014,South Asia,South Asia,,,-0.057751282157906904,0.5044533560930845,-0.1372853217461024,0.30716266440728374,0.0683859961761018,-1.0270680903030047,-0.05701711292175734,6,17,13,17,0.7647058823529411,-0.05701711292175734,Medium
Bolivia,BOL,2014,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),,,0.027656913120249437,0.537772334048731,-0.13812518069280924,0.1107886470681703,0.034816696929846125,-1.0124965764594598,-0.07326452766421203,6,17,14,17,0.8235294117647058,-0.07326452766421203,High
