entity,period,domain,value,z_value,SRV_score,coverage_ratio,model_trust_tier,entity_type,fetched_at_utc
TOTAL,2026-25,SRV,632,2.066901947212503,2.066901947212503,1.0,High,aggregate,2026-06-22T18:36:20.824964+00:00
digital-government,2026-25,SRV,21,-0.8081227641633675,-0.8081227641633675,1.0,High,topic,2026-06-22T18:36:20.824964+00:00
digital-public-goods,2026-25,SRV,62,-0.5856869337057706,-0.5856869337057706,1.0,High,topic,2026-06-22T18:36:20.824964+00:00
digital-public-infrastructure,2026-25,SRV,24,-0.7964740049623462,-0.7964740049623462,1.0,High,topic,2026-06-22T18:36:20.824964+00:00
e-government,2026-25,SRV,74,-0.5191225954142205,-0.5191225954142205,1.0,High,topic,2026-06-22T18:36:20.824964+00:00
govtech,2026-25,SRV,326,0.8787285087083335,0.8787285087083335,1.0,High,topic,2026-06-22T18:36:20.824964+00:00
open-government,2026-25,SRV,125,-0.23622415767513213,-0.23622415767513213,1.0,High,topic,2026-06-22T18:36:20.824964+00:00
