year,economy,mean_rank,sd_rank,top_k_freq
2016,Netherlands,3.188,0.4115013163202924,1.0
2016,New Zealand,34.048,0.293326031307435,0.0
2016,Nigeria,44.24,0.4279398674118617,0.0
2016,Norway,25.836,0.3920699880149056,0.0
2016,Pakistan,45.24,0.4279398674118617,0.0
2016,Peru,43.176,0.3919675423002106,0.0
2016,Philippines,36.064,0.29024293937221096,0.0
2016,Poland,22.768,0.4229557497718412,0.0
2016,Portugal,26.94,0.3237580533491538,0.0
2016,Romania,35.06,0.2841177424348311,0.0
2016,Russian Federation,21.72,0.4498995871905385,0.0
2016,Singapore,8.444,0.5935259828933166,1.0
2016,South Africa,39.088,0.3108738816322847,0.0
2016,Spain,4.772,0.6706826828271147,1.0
2016,Sweden,20.64,0.4809628896337212,0.36
2016,Switzerland,5.892,1.9117938757337758,1.0
2016,Thailand,17.52,0.5006020471777501,1.0
2016,Türkiye,19.632,0.4832287658662744,1.0
2016,United Arab Emirates,16.5,0.5089559357923962,1.0
2016,United Kingdom,7.204,3.341713962749556,1.0
2016,United States,13.176,2.6223138867194997,0.976
2016,Viet Nam,38.064,0.29024293937221096,0.0
2017,Argentina,41.196,0.39776483940876406,0.0
2017,Australia,11.036,0.6545362256458617,1.0
2017,Austria,13.856,0.6488048945289011,1.0
2017,Bangladesh,47.332,0.4718756898449698,0.0
2017,Belgium,12.776,0.6690399523431505,1.0
2017,Brazil,30.056,0.23038295340776274,0.0
2017,Canada,10.0,0.658585559938142,1.0
2017,Chile,40.168,0.37461626953135774,0.0
2017,China,16.156,5.557626548393265,0.792
2017,Colombia,42.204,0.4037773453009877,0.0
2017,Czech Republic,28.04,0.2337059560550005,0.0
2017,Denmark,18.636,0.48211381948639315,1.0
2017,Egypt,36.112,0.31599908494606055,0.0
2017,Finland,33.08,0.2718374189277797,0.0
2017,France,2.0,0.0,1.0
2017,Germany,1.0,0.0,1.0
2017,Greece,23.84,0.3673414747018704,0.0
2017,India,44.804,5.801743263847375,0.0
2017,Indonesia,31.064,0.24524391595563128,0.0
2017,Iraq,46.324,0.46893881739288,0.0
2017,Ireland,15.18,0.5839211037646158,1.0
2017,Israel,32.076,0.2655297047344911,0.0
2017,Italy,8.12,0.6286340134701324,1.0
2017,Japan,5.648,0.636960654594935,1.0
2017,Malaysia,29.044,0.2414481077892717,0.0
2017,Mexico,24.892,0.31100304108845195,0.0
2017,Netherlands,3.06,0.23796324511171144,1.0
2017,New Zealand,34.1,0.3006018060210761,0.0
2017,Nigeria,45.308,0.46259265868740923,0.0
2017,Norway,25.968,0.25145360538805295,0.0
2017,Pakistan,44.308,0.46259265868740923,0.0
2017,Peru,43.228,0.4203842189786217,0.0
2017,Philippines,38.124,0.3302427000916969,0.0
2017,Poland,22.828,0.37813747739047093,0.0
2017,Portugal,26.972,0.24383153048989425,0.0
2017,Romania,35.104,0.30587290323225325,0.0
2017,Russian Federation,21.792,0.40669102567114324,0.0
2017,Singapore,6.92,0.6718672655294048,1.0
2017,South Africa,39.156,0.3635832381784637,0.0
2017,Spain,4.5,0.5685887553326772,1.0
2017,Sweden,20.792,0.40669102567114324,0.208
2017,Switzerland,6.936,1.9665638799631968,1.0
2017,Thailand,16.576,0.5032265372485486,1.0
2017,Türkiye,19.688,0.46423924035906033,1.0
2017,United Arab Emirates,17.612,0.4964290151353692,1.0
2017,United Kingdom,7.692,3.1592816020361103,1.0
2017,United States,13.572,2.0972385745437303,1.0
2017,Viet Nam,37.124,0.3302427000916969,0.0
2018,Argentina,42.184,0.3882614942945152,0.0
2018,Australia,10.852,1.0050554940821619,1.0
2018,Austria,13.708,0.8864984591482884,1.0
2018,Bangladesh,47.392,0.4891760140182275,0.0
2018,Belgium,12.236,0.959157930553135,1.0
2018,Brazil,30.004,0.10969105940803116,0.0
2018,Canada,9.388,0.8992723519892114,1.0
2018,Chile,40.156,0.36358323817846194,0.0
2018,China,16.432,5.481382875965857,0.748
2018,Colombia,41.168,0.3746162695313603,0.0
2018,Czech Republic,28.004,0.10969105940803116,0.0
2018,Denmark,16.576,0.5032265372485484,1.0
2018,Egypt,34.024,0.1776237619329486,0.0
2018,Finland,33.024,0.1776237619329486,0.0
2018,France,2.0,0.0,1.0
2018,Germany,1.0,0.0,1.0
2018,Greece,22.816,0.388261494294511,0.0
2018,India,45.42,4.1964318367683,0.0
2018,Indonesia,31.008,0.12649110640673528,0.0
2018,Iraq,46.372,0.48430797729076314,0.0
2018,Ireland,14.988,0.7734655751770313,1.0
2018,Israel,32.012,0.14119399056577284,0.0
2018,Italy,7.212,0.43797636143140245,1.0
2018,Japan,6.212,0.43797636143140245,1.0
2018,Malaysia,29.004,0.10969105940803116,0.0
2018,Mexico,24.916,0.2779442606858297,0.0
2018,Netherlands,3.004,0.06324555320336749,1.0
2018,New Zealand,36.056,0.24720120091726933,0.0
2018,Nigeria,45.316,0.4658455196658773,0.0
2018,Norway,26.98,0.14028084280983535,0.0
2018,Pakistan,44.316,0.4658455196658773,0.0
2018,Peru,43.22,0.4150772899430987,0.0
2018,Philippines,38.072,0.2740738328689085,0.0
2018,Poland,20.748,0.43503219656502745,0.252
2018,Portugal,25.972,0.16530366361584165,0.0
2018,Romania,35.032,0.19781943817653927,0.0
2018,Russian Federation,21.776,0.4177584090756448,0.0
2018,Singapore,4.132,0.36207789439073146,1.0
2018,South Africa,39.1,0.30060180602107534,0.0
2018,Spain,5.188,0.4211477909800658,1.0
2018,Sweden,23.868,0.33916978724278224,0.0
2018,Switzerland,9.264,1.9824288376598895,1.0
2018,Thailand,17.576,0.5032265372485484,1.0
2018,Türkiye,18.64,0.4892416884515007,1.0
2018,United Arab Emirates,19.708,0.4555944085041435,1.0
2018,United Kingdom,9.7,3.329616401558308,1.0
2018,United States,13.152,2.020203178775377,1.0
2018,Viet Nam,37.072,0.2740738328689085,0.0
2019,Argentina,42.36,0.48096288963372236,0.0
2019,Australia,11.548,0.8212146943992107,1.0
2019,Austria,12.684,0.8066889040713324,1.0
2019,Bangladesh,47.62,0.486360138928917,0.0
2019,Belgium,14.944,0.7583961093218623,1.0
2019,Brazil,32.084,0.2920361973493169,0.0
2019,Canada,9.856,0.7358190802605636,1.0
2019,Chile,40.276,0.44791350283742987,0.0
2019,China,15.92,5.358025171174523,0.776
2019,Colombia,41.316,0.4658455196658782,0.0
2019,Czech Republic,29.068,0.2823026374592801,0.0
2019,Denmark,17.68,0.4674119121100035,1.0
2019,Egypt,33.104,0.30587290323225264,0.0
2019,Finland,34.104,0.30587290323225264,0.0
2019,France,2.008,0.08926293455821284,1.0
2019,Germany,1.0,0.0,1.0
2019,Greece,22.86,0.34768309440717227,0.0
2019,India,42.908,5.9701008716495485,0.0
2019,Indonesia,31.084,0.29203619734931646,0.0
2019,Iraq,46.596,0.4916818117604753,0.0
2019,Ireland,13.944,0.7583961093218623,1.0
2019,Israel,30.08,0.2862301710920316,0.0
2019,Italy,7.428,0.5780593485462949,1.0
2019,Japan,6.312,0.5135278408942344,1.0
2019,Malaysia,28.048,0.2645295892985467,0.0
2019,Mexico,24.932,0.2676988057545455,0.0
2019,Netherlands,3.036,0.186663798027298,1.0
2019,New Zealand,38.152,0.35974109386956865,0.0
2019,Nigeria,44.556,0.4978508026374443,0.0
2019,Norway,26.996,0.21014433746899172,0.0
2019,Pakistan,45.568,0.49634810947875446,0.0
